"Name","Source","Page","Level","Casting Time","Duration","School","Range","Components","Classes","Optional/Variant Classes","Subclasses","Text","At Higher Levels"
"Chaos Bolt","BoLS","29","3rd","Action","Instantaneous","Evocation","30 feet","V, S","Sorcerer (PHB), Wizard (PHB)","","Smuggler (ToH) Rogue","You release a bolt of pure chaos. Make a ranged spell attack against one creature you can see. If it hits, the target takes 4d10 force damage and is confused on its next turn.<br><br>A confused creature can't take reactions and must roll 1d10 at the start of its turn to determine what it does that turn.<br><table><tr><th>d10</th><th>Behaviour</th></tr><tr><td>1</td><td>Creature is incapacitated and moves as far as it can in a random direction.</td></tr><tr><td>2-6</td><td>Creature is incapacitated and can't move.</td></tr><tr><td>7-8</td><td>Creature can't move, but it makes a melee attack against the nearest creature within reach. If no target is within reach, it does nothing.</td></tr><tr><td>9-10</td><td>The creature can move and act normally.</td></tr></table>",""
"Chaos Bolt","XGE","151","1st","Action","Instantaneous","Evocation","120 feet","V, S","","Sorcerer (PHB)","","You hurl an undulating, warbling mass of chaotic energy at one creature in range. Make a ranged spell attack against the target. On a hit, the target takes 2d8 + 1d6 damage. Choose one of the d8s. The number rolled on that die determines the attack's damage type, as shown below.<br><table><tr><th>d8</th><th>Type</th><th>d8</th><th>Type</th></tr><tr><td>1</td><td>Acid</td><td>5</td><td>Lightning</td></tr><tr><td>2</td><td>Cold</td><td>6</td><td>Poison</td></tr><tr><td>3</td><td>Fire</td><td>7</td><td>Psychic</td></tr><tr><td>4</td><td>Force</td><td>8</td><td>Thunder</td></tr></table>If you roll the same number on both d8s, the chaotic energy leaps from the target to a different creature of your choice within 30 feet of it. Make a new attack roll against the new target, and make a new damage roll, which could cause the chaotic energy to leap again.<br><br>A creature can be targeted only once by each casting of this spell.","At Higher Levels. When you cast this spell using a spell slot of 2nd level or higher, each target takes 1d6 extra damage of the type rolled for each slot level above 1st."
"Confusion","PHB","224","4th","Action","Concentration, up to 1 minute","Enchantment","90 feet","V, S, M (three nut shells)","Bard (PHB), Druid (PHB), Sorcerer (PHB), Wizard (PHB)","","Arcane Trickster (PHB) Rogue, Beer (DM) Cleric, Black Powder (ToH) Cleric, Spores (TCE) Druid, Eldritch Knight (PHB) Fighter, Knowledge (PHB) Cleric, Lunar (DSotDQ) Sorcerer, Oathbreaker (DMG) Paladin, Smuggler (ToH) Rogue, Snake Speaker (ToH) Ranger, Spore (ToH) Sorcerer, Underfoot (ToH) Rogue","This spell assaults and twists creatures' minds, spawning delusions and provoking uncontrolled action. Each creature in a 10-foot-radius sphere centered on a point you choose within range must succeed on a Wisdom saving throw when you cast this spell or be affected by it.<br><br>An affected target can't take reactions and must roll a d10 at the start of each of its turns to determine its behavior for that turn.<br><table><tr><th>d10</th><th>Behavior</th></tr><tr><td>1</td><td>The creature uses all its movement to move in a random direction. To determine the direction, roll a d8 and assign a direction to each die face. The creature doesn't take an action this turn.</td></tr><tr><td>2-6</td><td>The creature doesn't move or take actions this turn.</td></tr><tr><td>7-8</td><td>The creature uses its action to make a melee attack against a randomly determined creature within its reach. If there is no creature within its reach, the creature does nothing this turn.</td></tr><tr><td>9-10</td><td>The creature can act and move normally.</td></tr></table>At the end of each of its turns, an affected target can make a Wisdom saving throw. If it succeeds, this effect ends for that target.","At Higher Levels. When you cast this spell using a spell slot of 5th level or higher, the radius of the sphere increases by 5 feet for each slot level above 4th."
"Control Weather","PHB","228","8th","10 Min.","Concentration, up to 8 hours","Transmutation","Self (5-mile radius)","V, S, M (burning incense and bits of earth and wood mixed in water)","Cleric (PHB), Druid (PHB), Wizard (PHB)","","Arcana (SCAG) Cleric, Divine Soul (XGE) Sorcerer, Smuggler (ToH) Rogue, Soulspy (ToH) Rogue, Spore (ToH) Sorcerer, Underfoot (ToH) Rogue","You take control of the weather within 5 miles of you for the duration. You must be outdoors to cast this spell. Moving to a place where you don't have a clear path to the sky ends the spell early.<br><br>When you cast the spell, you change the current weather conditions, which are determined by the DM based on the climate and season. You can change precipitation, temperature, and wind. It takes 1d4 × 10 minutes for the new conditions to take effect. Once they do so, you can change the conditions again. When the spell ends, the weather gradually returns to normal.<br><br>When you change the weather conditions, find a current condition on the following tables and change its stage by one, up or down. When changing the wind, you can change its direction.<br><br>Precipitation<br><table><tr><th>Stage</th><th>Condition</th></tr><tr><td>1</td><td>Clear</td></tr><tr><td>2</td><td>Light clouds</td></tr><tr><td>3</td><td>Overcast or ground fog</td></tr><tr><td>4</td><td>Rain, hail, or snow</td></tr><tr><td>5</td><td>Torrential rain, driving hail, or blizzard</td></tr></table>Temperature<br><table><tr><th>Stage</th><th>Condition</th></tr><tr><td>1</td><td>Unbearable heat</td></tr><tr><td>2</td><td>Hot</td></tr><tr><td>3</td><td>Warm</td></tr><tr><td>4</td><td>Cool</td></tr><tr><td>5</td><td>Cold</td></tr><tr><td>6</td><td>Arctic cold</td></tr></table>Wind<br><table><tr><th>Stage</th><th>Condition</th></tr><tr><td>1</td><td>Calm</td></tr><tr><td>2</td><td>Moderate wind</td></tr><tr><td>3</td><td>Strong wind</td></tr><tr><td>4</td><td>Gale</td></tr><tr><td>5</td><td>Storm</td></tr></table>",""
"Control Weather","SRD","228","8th","10 Min.","Concentration, up to 8 hours","Transmutation","Self (5-mile radius)","V, S, M (burning incense and bits of earth and wood mixed in water)","Cleric (PHB), Druid (PHB), Wizard (PHB)","","Smuggler (ToH) Rogue, Soulspy (ToH) Rogue, Spore (ToH) Sorcerer, Underfoot (ToH) Rogue","You take control of the weather within 5 miles of you for the duration. You must be outdoors to cast this spell. Moving to a place where you don't have a clear path to the sky ends the spell early.<br><br>When you cast the spell, you change the current weather conditions, which are determined by the DM based on the climate and season. You can change precipitation, temperature, and wind. It takes 1d4 × 10 minutes for the new conditions to take effect. Once they do so, you can change the conditions again. When the spell ends, the weather gradually returns to normal.<br><br>When you change the weather conditions, find a current condition on the following table and change its stage by one, up or down. When changing the wind, you can change its direction.<table><tr><th>S.</th><th>🌧 Prec.</th><th>🌡 Temp.</th><th>༄ Wind</th></tr><tr><td>1</td><td>Clear</td><td>Unbearable heat</td><td>Calm</td></tr><tr><td>2</td><td>Light clouds</td><td>Hot</td><td>Moderate wind</td></tr><tr><td>3</td><td>Overcast or ground fog</td><td>Warm</td><td>Strong wind</td></tr><tr><td>4</td><td>Rain, hail, or snow</td><td>Cool</td><td>Gale</td></tr><tr><td>5</td><td>Torrential rain, driving hail, or blizzard</td><td>Cold</td><td>Storm</td></tr><tr><td>6</td><td></td><td>Arctic cold</td><td></td></tr></table>",""
"Creation","PHB","229","5th","1 Min.","Special","Illusion","30 feet","V, S, M (a tiny piece of matter of the same type of the item you plan to create)","Artificer (TCE), Sorcerer (PHB), Wizard (PHB)","","Forge (XGE) Cleric, Guardian (ToH) Paladin, Primordial (ToH) Warlock, Smuggler (ToH) Rogue, Genie (TCE) Warlock","You pull wisps of shadow material from the Shadowfell to create a nonliving object of vegetable matter within range: soft goods, rope, wood, or something similar. You can also use this spell to create mineral objects such as stone, crystal, or metal. The object created must be no larger than a 5-foot cube, and the object must be of a form and material that you have seen before.<br><br>The duration depends on the object's material. If the object is composed of multiple materials, use the shortest duration.<br><table><tr><th>Material</th><th>Duration</th></tr><tr><td>Vegetable matter</td><td>1 day</td></tr><tr><td>Stone or crystal</td><td>12 hours</td></tr><tr><td>Precious metals</td><td>1 hour</td></tr><tr><td>Gems</td><td>10 minutes</td></tr><tr><td>Adamantine or mithral</td><td>1 minute</td></tr></table>Using any material created by this spell as another spell's material component causes that spell to fail.","At Higher Levels. When you cast this spell using a spell slot of 6th level or higher, the cube increases by 5 feet for each slot level above 5th."
"Creation","SRD","229","5th","1 Min.","Special","Illusion","30 feet","V, S, M (a tiny piece of matter of the same type of the item you plan to create)","Sorcerer (PHB), Wizard (PHB)","","Smuggler (ToH) Rogue","You pull wisps of shadow material from the Shadowfell to create a nonliving object of vegetable matter within range: soft goods, rope, wood, or something similar. You can also use this spell to create mineral objects such as stone, crystal, or metal. The object created must be no larger than a 5-foot cube, and the object must be of a form and material that you have seen before.<br><br>The duration depends on the object's material. If the object is composed of multiple materials, use the shortest duration.<br><table><tr><th>Material</th><th>Duration</th></tr><tr><td>Vegetable matter</td><td>1 day</td></tr><tr><td>Stone or crystal</td><td>12 hours</td></tr><tr><td>Precious metals</td><td>1 hour</td></tr><tr><td>Gems</td><td>10 minutes</td></tr><tr><td>Adamantine or mithral</td><td>1 minute</td></tr></table>Using any material created by this spell as another spell's material component causes that spell to fail.","At Higher Levels. When you cast this spell using a spell slot of 6th level or higher, the cube increases by 5 feet for each slot level above 5th."
"Doom of Stacked Stones","BoET","59","6th","Action","Concentration, up to 1 minute","Transmutation","30 feet","V, S, M (a granite pebble)","Druid (PHB), Sorcerer (PHB), Wizard (PHB)","","","You and three creatures of your choice within range must succeed on a Constitution saving throw when the spell is cast and again at the start of each of your turns while the spell is in effect. A creature whose saving throw fails is restrained. If one of the three targeted creatures fails this saving throw, as many as two other creatures (per initial target), each within 30 feet of the initial target, must make the same save. A restrained creature must continue to make saving throws each turn, and their condition worsens on a failure, as follows:<br><table><tr><th>Turn</th><th>Condition</th><th>Turn</th><th>Condition</th></tr><tr><td>Casting</td><td>Restrained</td><td>4</td><td>Paralyzed</td></tr><tr><td>2</td><td>Incapacitated</td><td>5</td><td>Petrified (turned to stone)</td></tr><tr><td>3</td><td>Stunned</td><td></td><td></td></tr></table>",""
"Find Greater Steed","XGE","156","4th","10 Min.","Instantaneous","Conjuration","30 feet","V, S","Paladin (PHB)","","","You summon a spirit that assumes the form of a loyal, majestic mount. Appearing in an unoccupied space within range, the spirit takes on a form you choose: a griffon, a pegasus, a peryton, a dire wolf, a rhinoceros, or a saber-toothed tiger. The creature has the statistics provided in the Monster Manual for the chosen form, though it is a celestial, a fey, or a fiend (your choice) instead of its normal creature type. Additionally, if it has an Intelligence score of 5 or lower, its Intelligence becomes 6, and it gains the ability to understand one language of your choice that you speak.<br><br>You control the mount in combat. While the mount is within 1 mile of you, you can communicate with it telepathically. While mounted on it, you can make any spell you cast that targets only you also target the mount.<br><br>The mount disappears temporarily when it drops to 0 hit points or when you dismiss it as an action. Casting this spell again re-summons the bonded mount, with all its hit points restored and any conditions removed.<br><br>You can't have more than one mount bonded by this spell or find steed at the same time. As an action, you can release a mount from its bond, causing it to disappear permanently.<br><br>Whenever the mount disappears, it leaves behind any objects it was wearing or carrying.<br><br>With the DM's permission, a paladin can summon a spirit in the form of a dragonnel using the find greater steed spell, which appears in Xanathar's Guide to Everything.",""
"Lunar Transfer","BoET","67","4th","1 Min.","Instantaneous","Conjuration","200 feet","V, S, M (an opal worth 500 gp, which the spell consumes)","Druid (PHB), Sorcerer (PHB), Wizard (PHB)","","","This spell instantly summons a glittering moonbeam that transports one sleeping creature or object of your choice that you can see within range to a destination you select. If you target an unwilling creature, it gains a Wisdom saving throw. On a successful save, the spell fails, and the caster appears in the target location instead. A transferred creature wakes up as soon as it arrives at its destination. If you target an object, it must be able to fit entirely inside a 10-foot cube, and it can't be held or carried by an unwilling creature. The destination you choose must be known to you, and it must be on the same plane of existence as you. Your familiarity with the destination determines whether the creature or object arrives there successfully.<br><br>The GM rolls d20 and consults the Lunar Transfer table below. The following definitions will help:<br><br>- Grove or Magic Circle means a hallowed druid grove or a permanent teleportation circle whose sigil sequence you know.<br>- Memento means that you possess an object taken from the desired destination within the last six months, such as a book from a wizard's library, bed linen from a royal suite, or a chunk of marble from a lich's secret tomb.<br>- Very Familiar is a place you have been very often, a place you have carefully studied, or a place you can see when you cast the spell.<br>- Seen Casually is someplace you have seen more than once but with which you aren't very familiar.<br>- Viewed Once is a place you have seen once, possibly using magic.<br>- Description is a place whose location and appearance you know through someone else's description, perhaps from a map.<br>- False Destination is a place that doesn't exist. Perhaps you tried to scry an enemy's sanctum but instead viewed an illusion, or perhaps you are attempting to teleport to a familiar location that no longer exists.<br><br>On Target. The target creature or object appears where you want it to.<br><br>Off Target. The target creature or object appears a random distance away from the destination in a random direction. Distance off target is 5 miles times a 1d20 roll, though never more than half the distance traveled. For example, if you sent someone 250 miles and they landed off target, and you rolled an 8 on the d20, then they would arrive off target by 40 miles. If you had sent them only 20 miles, they could not be more than 10 miles off target. The GM determines the direction off target randomly by rolling a d8 and designating 1 as north, 2 as northeast, 3 as east, and so on around the points of the compass. If you were teleporting someone to a coastal city and they wound up 20 miles out at sea, they could be in trouble.<br><br>Similar. Your target creature or object winds up in a different area that's visually or thematically similar to the target area. If you are sending someone to your home laboratory, for example, they might wind up in another wizard's laboratory or in an alchemical supply shop that has many of the same tools and implements as your laboratory. Generally, the creature or object appears in the closest similar place, but since the spell has no range limit, they could conceivably wind up anywhere on the plane.<br><br>Mishap. The spell's unpredictable magic results in a difficult journey. The teleporting creature or object takes 2d12 force damage, and the GM rerolls on the table to see where you wind up. (Multiple mishaps can occur, dealing damage each time.)<br><table><tr><th>d20</th><th>Grove or Circle</th><th>Memento</th><th>Very Familiar</th><th>Seen Casually</th><th>Viewed Once</th><th>Description</th><th>False Destination</th></tr><tr><td>1</td><td>Similar</td><td>Mishap</td><td>Mishap</td><td>Mishap</td><td>Mishap</td><td>Mishap</td><td>Mishap</td></tr><tr><td>2-5</td><td>Off target</td><td>Similar</td><td>Similar</td><td>Similar</td><td>Mishap</td><td>Mishap</td><td>Mishap</td></tr><tr><td>6-9</td><td>On target</td><td>Off target</td><td>Off target</td><td>Similar</td><td>Similar</td><td>Similar</td><td>Mishap</td></tr><tr><td>10-13</td><td>On target</td><td>On target</td><td>Off target</td><td>Off target</td><td>Off target</td><td>Similar</td><td>Similar</td></tr><tr><td>14-17</td><td>On target</td><td>On target</td><td>On target</td><td>On target</td><td>On target</td><td>Off target</td><td>Similar</td></tr><tr><td>18-19</td><td>On target</td><td>On target</td><td>On target</td><td>On target</td><td>On target</td><td>On target</td><td>Similar</td></tr><tr><td>20</td><td>On target</td><td>On target</td><td>On target</td><td>On target</td><td>On target</td><td>On target</td><td>Similar</td></tr></table>",""
